,Internal.ID,X26,answer_clean
1,24970299,UBC ARC,Tech support
2,24984393,All commercial clouds,All commercial clouds
3,25048045,I use FAQs and sometimes my institution's IT staff to answer any questions - if that's what this question refers to?,Tech support
4,25050647,a computer science RA,Tech support
5,25075110,institutional resources,Tech support
6,25076079,Tech support,Tech support
7,25076669,"(not my personal research, but I believe the commercial cloud providers found the use-case interesting)",NA
8,25080210,email,Tech support
9,25088984,Dropbox support.,Tech support
10,25089719,Institution’s tech support,Tech support
11,25113850,"technically, my university's IT resources can help, but they aren't very helpful on this end.",Tech support
12,25114456,Institutional and grant funds.,Tech support
12,25114456,Institutional and grant funds.,Research grants
13,25182274,Research grants,Research grants
14,25182277,Amazon and Microsoft provide credits and tech support for university researchers,Tech support
15,25185827,AWS contact person,Tech support
16,25186640,It comes as part of the in-kind support we received from Microsoft.,Tech support
17,25193223,depends on the service,NA
18,25196954,institutional,Tech support
19,25206627,Collaborators at Google. Customer engineers at Google.,Tech support
20,25214105,ProQuest,ProQuest
21,25224155,Philantropy,Other
22,25261404,local IT department,Tech support
23,25272086,"collaborators, staff",Collaborators
24,25288280,Both my institution and the cloud service,Tech support
25,25295225,basic IT tickets,Tech support
26,25355509,Collabortion with Microsoft,Tech support
27,25367384,University - google,Tech support
28,25175839,centre service chat,Tech support
29,25232175,AWS fournit du support,Tech support
30,25266658,d'autres utilisateurs autour,Collaborators
31,25042362,Limited to basic Cloud service,NA
32,25169416,From the vendor.,Tech support
33,25269151,Amazon and Partners,Tech support
34,25274937,"Institutional IT, commercial cloud provider support",Tech support
35,25244279,ressources informationnelles de l'institution,Tech support
36,25113676,Institution (for our institutional google drive),Tech support
37,25114242,"Technical partner, and Amazon",Tech support
38,25120747,Project leaders,Collaborators
39,25129461,commercial customer service,Tech support
40,25167544,institution,Tech support
41,25229330,Google/Verily,Tech support
42,25290584,"as a student resercher, i get discounts on the services",Discounts
43,25232183,Research Grants,Research grants
44,25049017,Research computing services team,Tech support
45,25086970,credits from Google,Tech support
46,25253792,This is pooled storage for the University so Research support is a consumer of this offering,Tech support
